【整租】泊寓 万达广场 万科泊寓北宸,万达广场,整租,1899-3498,http://hz.58.com/pinpaigongyu/32621664918451x.shtml?psid=119561823199303309592666504
【合租】祥符 德信晓宸 4室次卧,德信晓宸,合租,1700,http://hz.58.com/pinpaigongyu/32511499640363x.shtml?psid=119561823199303309592666504
【整租】泊寓 文一路 万科泊寓文一,文一路,整租,1988-3150,http://hz.58.com/pinpaigongyu/32568899420730x.shtml?psid=119561823199303309592666504
【合租】祥符 【随寓 德信晓宸 3室主卧,【随寓,合租,1750,http://hz.58.com/pinpaigongyu/32644989463479x.shtml?psid=119561823199303309592666504
【合租】祥符 德信晓宸 3室次卧,德信晓宸,合租,1650,http://hz.58.com/pinpaigongyu/32303600717904x.shtml?psid=119561823199303309592666504
【整租】冠寓 留下 冠寓西溪蓝保店,留下,整租,2000,http://hz.58.com/pinpaigongyu/33344179708989x.shtml?psid=119561823199303309592666504
【合租】祥符 雍荣华庭 3室主卧,雍荣华庭,合租,1800,http://hz.58.com/pinpaigongyu/33344505082924x.shtml?psid=119561823199303309592666504
【整租】冠寓 未来科技城 冠寓融通店,未来科技城,整租,1899-2099,http://hz.58.com/pinpaigongyu/33344288347707x.shtml?psid=119561823199303309592666504
【合租】三墩 天虹公寓 3室主卧,天虹公寓,合租,1880,http://hz.58.com/pinpaigongyu/32634290732970x.shtml?psid=119561823199303309592666504
【合租】留下 玉屏居 4室次卧,玉屏居,合租,1550,http://hz.58.com/pinpaigongyu/32303157100602x.shtml?psid=119561823199303309592666504
【合租】西兴 迎春南苑 3室次卧,迎春南苑,合租,1700,http://hz.58.com/pinpaigongyu/32382606859447x.shtml?psid=119561823199303309592666504
【整租】世联红璞公寓 笕桥 元成时代中心,笕桥,整租,1850-1950,http://hz.58.com/pinpaigongyu/33042507026867x.shtml?psid=119561823199303309592666504
